fold,model,MAE,RMSE,R2
1,LinearRegression,39.663395893628525,60.87090770088188,0.3031010659169163
1,RandomForest,24.620269842571357,48.64673094486415,0.554900028544956
1,SVR,39.407571330808025,69.55469980265576,0.090080011463198
1,kNN,43.09151630372402,64.26833594673298,0.22313714826894226
2,LinearRegression,26.66051442320095,49.263446633832466,0.5666708449263664
2,RandomForest,23.54605071168581,48.09227211944368,0.5870296087473363
2,SVR,28.834247372380442,49.465102483997,0.5631159898184726
2,kNN,40.78024953517943,68.16607238531961,0.1703309941495278
3,LinearRegression,24.45524274233107,47.965091206571024,0.5333823331870415
3,RandomForest,20.718279463226178,43.15843778132489,0.6222173048887633
3,SVR,23.858671462335046,44.77347753180806,0.5934141289351448
3,kNN,37.62499367332751,65.358590594815,0.13360490411259107
4,LinearRegression,22.140617013087134,44.507926152430684,0.5785354999333746
4,RandomForest,19.90571407534262,41.637182450424454,0.6311507120858159
4,SVR,22.608687267332677,45.14030621537126,0.5664738649183116
4,kNN,32.65704303992653,61.456390964687365,0.19643615598354114
5,LinearRegression,20.778734220589467,42.11924078997297,0.5622127017612912
5,RandomForest,20.302401639345412,43.343264635475684,0.5363979717453039
5,SVR,25.265639296059952,43.35142138284872,0.536223465257352
5,kNN,31.550265070636275,57.153643588365775,0.19389812226933278
